Activity,Checklist Type,Requirement per FDP/Site
Activity 1 Relief,Beneficiary Contact Monitoring,6
Activity 1 Relief,Food Basket Monitoring,6
Activity 1 Relief,Warehouse Monitoring,1
Activity 1 Relief,Distribution Observation,1
Activity 1 Relief,Partner Performance Monitoring,1
Activity 2 Nutrition,TSFP Centre-Level Monitoring,1
Activity 2 Nutrition,Beneficiary Contact Monitoring,2
Activity 2 Nutrition,TSFP Food Basket / Ration Verification,2
Activity 2 Nutrition,Distribution Observation,1
Activity 2 Nutrition,Warehouse / Store Monitoring,1
Activity 2 Nutrition,Partner Performance Monitoring,1
Activity 3 Refugee Operations,Beneficiary Contact Monitoring,6
Activity 3 Refugee Operations,Food Basket Monitoring,6
Activity 3 Refugee Operations,Warehouse Monitoring,1
Activity 3 Refugee Operations,Distribution Observation,1
Activity 3 Refugee Operations,Partner Performance Monitoring,1
