FDP_ID,Activity,Modality,Sub-office,Zone,Woreda,FDP/Site Name,Partner,Active Status,Priority Level,Latitude,Longitude,GPS
REL-AWBA-001,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 01,CAAP,Active,Medium,9.398614,42.790773,"9.398614, 42.790773"
REL-AWBA-002,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 02,CAAP,Active,Medium,9.369665,42.651121,"9.369665, 42.651121"
REL-AWBA-003,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 03,CAAP,Active,Medium,9.290334,42.810783,"9.290334, 42.810783"
REL-AWBA-004,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 04,CAAP,Active,Medium,9.401671,42.726184,"9.401671, 42.726184"
REL-AWBA-005,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 05,CAAP,Active,Medium,9.37767,42.802353,"9.37767, 42.802353"
REL-AWBA-006,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 06,CAAP,Active,Medium,9.36779,42.752862,"9.36779, 42.752862"
REL-AWBA-007,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 07,CAAP,Active,Medium,9.306439,42.73367,"9.306439, 42.73367"
REL-AWBA-008,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 08,CAAP,Active,Medium,9.279627,42.793514,"9.279627, 42.793514"
REL-AWBA-009,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 09,CAAP,Active,Medium,9.347569,42.86622,"9.347569, 42.86622"
REL-AWBA-010,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 10,CAAP,Active,Medium,9.407811,42.80235,"9.407811, 42.80235"
REL-AWBA-011,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 11,CAAP,Active,Medium,9.340724,42.604566,"9.340724, 42.604566"
REL-AWBA-012,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 12,CAAP,Active,Medium,9.411607,42.853303,"9.411607, 42.853303"
