Month,Activity,Modality,Sub-office,Zone,Woreda,FDP_ID,FDP/Site Name,Partner,Assistance Planned,Monthly Priority Level,Priority Reason,Distribution Window,TPM Assigned to Woreda,TPM Field Monitor,TPM Available This Month,Reassignment Possible,Reassignment Needed,Reassignment Status,Planned Entity,Allocation Reason,Assignment Type,70/30 Exception Reason,Manual Override Entity,Override Reason,Final Entity,Latitude,Longitude,GPS
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-001,Awbare FDP 01,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.398614,42.790773,"9.398614, 42.790773"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-002,Awbare FDP 02,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.369665,42.651121,"9.369665, 42.651121"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-003,Awbare FDP 03,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.290334,42.810783,"9.290334, 42.810783"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-004,Awbare FDP 04,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.401671,42.726184,"9.401671, 42.726184"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-005,Awbare FDP 05,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.37767,42.802353,"9.37767, 42.802353"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-006,Awbare FDP 06,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.36779,42.752862,"9.36779, 42.752862"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-007,Awbare FDP 07,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.306439,42.73367,"9.306439, 42.73367"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-008,Awbare FDP 08,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.279627,42.793514,"9.279627, 42.793514"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-009,Awbare FDP 09,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.347569,42.86622,"9.347569, 42.86622"
May 2025,Activity 1 Relief,Food,Jijiga,Fafan,Awbare,REL-AWBA-010,Awbare FDP 10,CAAP,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,Yes,Abdi Monitor,Yes,Yes,No,,TPM,Rebalanced toward 70/30 where TPM is available,Split large woreda,,,,TPM,9.407811,42.80235,"9.407811, 42.80235"
