Month,Activity,FDP_ID,Woreda,FDP/Site Name,Assistance Planned,Monthly Priority Level,Priority Reason,Distribution Window,Remarks
May 2025,Activity 1 Relief,REL-AWBA-001,Awbare,Awbare FDP 01,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-002,Awbare,Awbare FDP 02,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-003,Awbare,Awbare FDP 03,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-004,Awbare,Awbare FDP 04,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-005,Awbare,Awbare FDP 05,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-006,Awbare,Awbare FDP 06,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-007,Awbare,Awbare FDP 07,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-008,Awbare,Awbare FDP 08,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-009,Awbare,Awbare FDP 09,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-010,Awbare,Awbare FDP 10,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-011,Awbare,Awbare FDP 11,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-012,Awbare,Awbare FDP 12,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-013,Awbare,Awbare FDP 13,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-014,Awbare,Awbare FDP 14,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-015,Awbare,Awbare FDP 15,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-016,Awbare,Awbare FDP 16,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-017,Awbare,Awbare FDP 17,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-018,Awbare,Awbare FDP 18,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
May 2025,Activity 1 Relief,REL-AWBA-019,Awbare,Awbare FDP 19,Yes,Medium,Current month vulnerability/needs prioritization,10–25 May 2025,
