Month,Activity,Modality,Entity,Woreda,FDP_ID,FDP/Site Name,Checklist Type,Required Count,Latitude,Longitude,GPS,Achieved,Gap,Completion %,Status,Visited Status
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-001,Awbare FDP 01,Beneficiary Contact Monitoring,6,9.398614,42.790773,"9.398614, 42.790773",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-001,Awbare FDP 01,Food Basket Monitoring,6,9.398614,42.790773,"9.398614, 42.790773",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-001,Awbare FDP 01,Warehouse Monitoring,1,9.398614,42.790773,"9.398614, 42.790773",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-001,Awbare FDP 01,Distribution Observation,1,9.398614,42.790773,"9.398614, 42.790773",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-001,Awbare FDP 01,Partner Performance Monitoring,1,9.398614,42.790773,"9.398614, 42.790773",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-002,Awbare FDP 02,Beneficiary Contact Monitoring,6,9.369665,42.651121,"9.369665, 42.651121",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-002,Awbare FDP 02,Food Basket Monitoring,6,9.369665,42.651121,"9.369665, 42.651121",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-002,Awbare FDP 02,Warehouse Monitoring,1,9.369665,42.651121,"9.369665, 42.651121",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-002,Awbare FDP 02,Distribution Observation,1,9.369665,42.651121,"9.369665, 42.651121",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-002,Awbare FDP 02,Partner Performance Monitoring,1,9.369665,42.651121,"9.369665, 42.651121",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-003,Awbare FDP 03,Beneficiary Contact Monitoring,6,9.290334,42.810783,"9.290334, 42.810783",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-003,Awbare FDP 03,Food Basket Monitoring,6,9.290334,42.810783,"9.290334, 42.810783",6,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-003,Awbare FDP 03,Warehouse Monitoring,1,9.290334,42.810783,"9.290334, 42.810783",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-003,Awbare FDP 03,Distribution Observation,1,9.290334,42.810783,"9.290334, 42.810783",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-003,Awbare FDP 03,Partner Performance Monitoring,1,9.290334,42.810783,"9.290334, 42.810783",0,1,0.0,Not Visited / Not Submitted,Not Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-004,Awbare FDP 04,Beneficiary Contact Monitoring,6,9.401671,42.726184,"9.401671, 42.726184",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-004,Awbare FDP 04,Food Basket Monitoring,6,9.401671,42.726184,"9.401671, 42.726184",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-004,Awbare FDP 04,Warehouse Monitoring,1,9.401671,42.726184,"9.401671, 42.726184",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-004,Awbare FDP 04,Distribution Observation,1,9.401671,42.726184,"9.401671, 42.726184",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-004,Awbare FDP 04,Partner Performance Monitoring,1,9.401671,42.726184,"9.401671, 42.726184",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-005,Awbare FDP 05,Beneficiary Contact Monitoring,6,9.37767,42.802353,"9.37767, 42.802353",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-005,Awbare FDP 05,Food Basket Monitoring,6,9.37767,42.802353,"9.37767, 42.802353",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-005,Awbare FDP 05,Warehouse Monitoring,1,9.37767,42.802353,"9.37767, 42.802353",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-005,Awbare FDP 05,Distribution Observation,1,9.37767,42.802353,"9.37767, 42.802353",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-005,Awbare FDP 05,Partner Performance Monitoring,1,9.37767,42.802353,"9.37767, 42.802353",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-006,Awbare FDP 06,Beneficiary Contact Monitoring,6,9.36779,42.752862,"9.36779, 42.752862",4,2,0.6666666666666666,Moderate Gap,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-006,Awbare FDP 06,Food Basket Monitoring,6,9.36779,42.752862,"9.36779, 42.752862",5,1,0.8333333333333334,Partial,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-006,Awbare FDP 06,Warehouse Monitoring,1,9.36779,42.752862,"9.36779, 42.752862",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-006,Awbare FDP 06,Distribution Observation,1,9.36779,42.752862,"9.36779, 42.752862",1,0,1.0,Complete,Visited
May 2025,Activity 1 Relief,Food,TPM,Awbare,REL-AWBA-006,Awbare FDP 06,Partner Performance Monitoring,1,9.36779,42.752862,"9.36779, 42.752862",1,0,1.0,Complete,Visited
